time,load_average_1min,load_average_5min,load_average_15min,total_tasks,running_tasks,sleeping_tasks,cpu_user,cpu_system,cpu_nice,cpu_idle,cpu_wait,cpu_si,memory_total,memory_free,memory_used,memory_buff,vm_total,vm_free,vm_used,memory_available,captured_packets,multilabel
84724,3.18,2.87,2.91,21,1,20,100,0,0,0,0,0,7957.8,844.7,2651.6,4461.5,947.2,947.2,0,4996.5,0,normal
68063,4.33,3.39,3.58,21,5,16,100,0,0,0,0,0,7957.8,536.8,3359.1,4061.8,947.2,947.2,0,4281.1,0,normal
80732,2.95,2.77,2.71,21,1,20,100,0,0,0,0,0,7957.8,912.3,2592.1,4453.4,947.2,947.2,0,5056,0,normal
29849,9.39,7.56,3.52,21,1,20,91.7,8.3,0,0,0,0,7957.8,1086.5,2195,4676.3,947.2,947.2,0,5446.9,0,normal
37942,5.52,5.47,5.61,21,2,19,100,0,0,0,0,0,7957.8,465.5,3930.2,3562,947.2,946.5,0.8,3711.7,22,normal
54034,10.99,41.55,42.69,21,2,19,0,0,0,100,0,0,7957.8,1183.2,2841.8,3932.7,947.2,946.7,0.5,4804.3,0,normal
7956,2.83,3.1,3.05,21,2,19,68.4,0,0,0,0,31.6,7957.8,432.1,2822.4,4703.2,947.2,947.2,0,4825.7,564,malware
31726,2.24,2.89,3.2,21,1,20,100,0,0,0,0,0,7957.8,119,3049.6,4789.2,947.2,947,0.3,4592.3,0,normal
42044,7.53,9.42,8.61,21,2,19,100,0,0,0,0,0,7957.8,120.5,4247.9,3589.4,947.2,946.5,0.8,3394,0,normal
66276,2.82,3.45,5.72,21,1,20,100,0,0,0,0,0,7957.8,573.1,3345.9,4038.8,947.2,947.2,0,4294.3,0,normal
59070,2.68,2.97,4.85,21,1,20,100,0,0,0,0,0,7957.8,1485.4,2515.6,3956.7,947.2,947.2,0,5124.5,0,normal
41920,9.24,11.13,9,21,1,20,82.4,11.8,0,0,0,5.9,7957.8,129.6,4243,3585.2,947.2,946.5,0.8,3398.9,0,normal
35027,2.96,3.12,3.12,21,2,19,0,0,0,100,0,0,7957.8,117.1,3190.6,4650,947.2,947,0.3,4451.3,0,normal
10807,2.94,3.11,2.99,21,1,20,90.9,9.1,0,0,0,0,7957.8,332.1,2831.9,4793.8,947.2,947.2,0,4816.3,0,normal
11392,2.57,2.83,2.87,21,1,20,100,0,0,0,0,0,7957.8,330.7,2832.1,4795,947.2,947.2,0,4816.1,0,normal
